id,sales
0,12.756051495756328
1,14.123452967335883
2,13.803867375530064
3,14.046649040561414
4,15.742801529417273
5,15.858814914107867
6,16.87634499389658
7,12.756051495756328
8,14.123452967335883
9,13.803867375530064
10,14.046649040561414
11,15.742801529417273
12,15.858814914107867
13,16.87634499389658
14,12.756051495756328
15,14.123452967335883
16,13.803867375530064
17,14.046649040561414
18,15.742801529417273
19,15.858814914107867
20,16.87634499389658
21,12.756051495756328
22,14.123452967335883
23,13.803867375530064
24,14.046649040561414
25,15.742801529417273
26,15.858814914107867
27,16.87634499389658
28,12.756051495756328
29,14.123452967335883
30,13.803867375530064
31,16.458864287937693
32,17.517355440055745
33,18.505772934481058
34,20.475415963518426
35,14.74225313863151
36,16.3605593779733
37,16.074605141925908
38,16.458864287937693
39,17.517355440055745
40,18.505772934481058
41,20.475415963518426
42,14.74225313863151
43,16.3605593779733
44,16.074605141925908
45,16.458864287937693
46,17.517355440055745
47,18.505772934481058
48,20.475415963518426
49,14.74225313863151
50,16.3605593779733
51,16.074605141925908
52,16.458864287937693
53,17.517355440055745
54,18.505772934481058
55,20.475415963518426
56,14.74225313863151
57,16.3605593779733
58,16.074605141925908
59,17.33716707027114
60,19.414316340876507
61,21.04871896360619
62,22.825861822517187
63,15.903833597698469
64,17.44947461003896
65,17.489330793562313
66,17.33716707027114
67,19.414316340876507
68,21.04871896360619
69,22.825861822517187
70,15.903833597698469
71,17.44947461003896
72,17.489330793562313
73,17.33716707027114
74,19.414316340876507
75,21.04871896360619
76,22.825861822517187
77,15.903833597698469
78,17.44947461003896
79,17.489330793562313
80,17.33716707027114
81,19.414316340876507
82,21.04871896360619
83,22.825861822517187
84,15.903833597698469
85,17.44947461003896
86,17.489330793562313
87,17.33716707027114
88,19.414316340876507
89,21.04871896360619
90,17.149121217810745
91,20.652101849257964
92,20.463584458984787
93,21.083964247646367
94,23.044094563694912
95,23.598920870193925
96,23.676216912032334
97,17.149121217810745
98,20.652101849257964
99,20.463584458984787
100,21.083964247646367
101,23.044094563694912
102,23.598920870193925
103,23.676216912032334
104,17.149121217810745
105,20.652101849257964
106,20.463584458984787
107,21.083964247646367
108,23.044094563694912
109,23.598920870193925
